filegroup_id,test_code,vehicle_year,vehicle_make_model,test_side,era,window_100_delta_vx_mps,window_150_delta_vx_mps,window_100_delta_vy_away_mps,window_150_delta_vy_away_mps,window_100_ri,window_150_ri,window_100_seat_twist_peak_mm,window_150_seat_twist_peak_mm,window_100_max_abs_ax_g,window_150_max_abs_ax_g,window_100_max_abs_ay_g,window_150_max_abs_ay_g,window_100_max_abs_az_g,window_150_max_abs_az_g,window_100_max_abs_resultant_g,window_150_max_abs_resultant_g,delta_ri_150_minus_100,delta_dvy_150_minus_100,delta_seat_twist_150_minus_100,delta_ax_150_minus_100,delta_ay_150_minus_100,delta_az_150_minus_100,delta_resultant_150_minus_100,safety_severity_score,abs_delta_ri,xyz_signature_l1_delta
5432,CEP1810,2018,2018 Toyota Highlander,passenger,2018-2026,-9.97234978606042,-14.420250270429932,5.498117199820293,9.003501232582327,0.551336176304775,0.624365115981714,11.225192970503105,11.225192970503105,33.67985383552697,33.67985383552697,17.99055646539073,17.99055646539073,12.57236558105559,16.968167510946156,37.790473127881455,37.790473127881455,0.07302893967693891,3.5053840327620334,0.0,0.0,0.0,4.395801929890565,0.0,0.358197746069763,0.07302893967693891,4.395801929890565
1604,CF10021,2009,2009 Honda Accord,driver,2001-2014,-10.0352334827039,-12.947856864392408,4.504488601327368,5.716222133493552,0.44886734415208396,0.44148017647720517,,,31.558960766403057,31.558960766403057,19.49496913990563,19.49496913990563,23.53393892671937,27.862064367332742,36.42148157731608,36.42148157731608,-0.007387167674878792,1.2117335321661846,,0.0,0.0,4.328125440613373,0.0,0.739520666974555,0.007387167674878792,4.328125440613373
8427,CEN2407,2025,2025 Toyota Crown Signia,driver,2018-2026,-9.220279009099784,-13.932858189201802,4.088321253842452,7.153863589630827,0.4434053730703332,0.5134526952391715,9.701848062171322,24.677381275076193,24.271027663514285,24.271027663514285,13.178955997327026,14.919390292285762,8.832363946653631,11.395225010821303,26.709149303557492,28.2994043343928,0.0700473221688383,3.0655423357883755,14.975533212904871,0.0,1.7404342949587353,2.562861064167672,1.5902550308353085,-0.6626685521041938,0.0700473221688383,4.303295359126407
2447,CEN1512,2015,2015 Ford F-150,driver,2015-2017,-8.924724944131496,-15.544928201682033,4.808820892553839,7.3669416811180755,0.5388200670224471,0.47391287920654007,13.890409427268438,23.951345573927384,39.16348309233321,43.2798763904816,26.93415874711405,26.93415874711405,27.39806884266862,27.39806884266862,40.049436775558426,50.779562582891295,-0.06490718781590704,2.5581207885642367,10.060936146658946,4.116393298148388,0.0,0.0,10.730125807332868,0.01786972708267961,0.06490718781590704,4.116393298148388
6659,CEP1901,2019,2019 Ford F-150 (crew cab),passenger,2018-2026,-10.667116445363021,-13.52854509098664,5.933494671535141,6.562564602246993,0.5562416705514096,0.4850901969214181,,,34.450939779041875,34.450939779041875,21.885484811297413,21.885484811297413,24.127302950305378,28.094035135083057,45.49581287661858,45.49581287661858,-0.07115147362999152,0.6290699307118519,,0.0,0.0,3.9667321847776797,0.0,-0.2852573439951775,0.07115147362999152,3.9667321847776797
1872,CF11015,2012,2012 Volvo S60,driver,2001-2014,-8.11517702748942,-15.156835658886958,3.5178987907353405,6.584810207767157,0.4334962476873616,0.43444491686536585,,,16.656216948728144,20.01351387399146,14.053776043785964,14.053776043785964,31.44416609906588,31.44416609906588,36.589633064578,36.589633064578,0.0009486691780042356,3.066911417031817,,3.3572969252633165,0.0,0.0,0.0,-0.8527687458944732,0.0009486691780042356,3.3572969252633165
7535,CEN2205,2022,2022 Hyundai Ioniq 5,driver,2018-2026,-12.758501067877319,-15.885651447397953,5.977531099406403,8.12629040105456,0.46851358694920014,0.5115490811291616,5.259971145190381,5.259971145190381,34.23916040998321,34.23916040998321,15.901596753047064,19.083134021090835,9.415420183567182,9.415420183567182,37.57921096004017,37.57921096004017,0.0430354941799615,2.1487593016481563,0.0,0.0,3.181537268043771,0.0,0.0,-0.06556165120675636,0.0430354941799615,3.181537268043771
8630,CEP2501,2025,2025 Tesla Model 3,passenger,2018-2026,-10.266573671280584,-9.900142075833696,4.089305970408105,4.629779332153291,0.3983126310043838,0.46764776673807634,,,25.23786791180296,26.70624373438064,12.037866832701221,13.576744900011185,28.50940863499925,28.50940863499925,30.092889094704102,30.137790145749488,0.06933513573369254,0.5404733617451853,,1.468375822577677,1.5388780673099642,0.0,0.044901051045386,-0.3599739169814466,0.06933513573369254,3.0072538898876413
6631,CEP1826,2019,2019 Chevrolet Colorado (crew cab),passenger,2018-2026,-9.247879125474292,-12.81667104137818,4.024348831367127,4.680320100030502,0.435164514670355,0.36517439551348785,,,32.885653324354905,35.236612165271595,17.778316234803448,17.778316234803448,50.442548472961285,50.442548472961285,55.51446886992955,55.51446886992955,-0.06999011915686715,0.6559712686633752,,2.3509588409166895,0.0,0.0,0.0,0.5498011126692289,0.06999011915686715,2.3509588409166895
7530,CEN2201,2022,2022 Subaru BRZ,driver,2018-2026,-6.244026231480646,-6.893294596366275,-3.342017368416732,-3.1262761914675985,0.5352343575315569,0.45352423979030015,8.241103556485712,9.580805621352837,16.54547855950946,16.54547855950946,7.11639905896163,7.11639905896163,18.539740483493574,20.740991525802198,24.641218484662488,24.641218484662488,-0.08171011774125675,0.21574117694913353,1.3397020648671258,0.0,0.0,2.2012510423086233,0.0,-0.029688461167750375,0.08171011774125675,2.2012510423086233
2554,CEN1529,2016,2016 Acura RDX,driver,2015-2017,-11.856722785211723,-14.028309887711414,6.421565896904921,8.992182736941302,0.5415970342930011,0.6410025732906227,10.539922294002395,10.539922294002395,24.07127189028304,24.07127189028304,13.69250763150305,15.322801405248937,14.964229370890305,14.964229370890305,27.042132717023897,27.042132717023897,0.09940553899762161,2.570616840036381,0.0,0.0,1.630293773745887,0.0,0.0,-0.17455290303675333,0.09940553899762161,1.630293773745887
8281,CEN2404,2024,2024 Kia EV9,driver,2018-2026,-12.660761111395079,-17.02079908592337,4.4790372847223034,5.728352676688462,0.3537731456516489,0.33655016123337905,6.1365082703547635,8.761301705813594,32.19422716758975,33.74493089153755,13.259462187175556,13.259462187175556,13.348808116307898,13.348808116307898,33.32534305050408,34.92928361553378,-0.01722298441826986,1.2493153919661584,2.6247934354588303,1.550703723947798,0.0,0.0,1.6039405650296956,-0.0969655067170548,0.01722298441826986,1.550703723947798
1834,CF11014,2009,2009 Mitsubishi Galant,driver,2001-2014,-7.227294510129291,-14.41129459964868,2.465986242845894,5.165065822832879,0.341204615280273,0.3584040134020155,,,23.13443982945857,23.13443982945857,10.980998241703032,10.980998241703032,8.261339206754247,9.527627393105327,24.10029137194308,24.10029137194308,0.017199398121742482,2.6990795799869853,,0.0,0.0,1.2662881863510798,0.0,-0.13192055851250964,0.017199398121742482,1.2662881863510798
2396,CEN1445,2014,2014 Nissan Quest,driver,2001-2014,-8.25082357468259,-12.86097342592631,3.5052686272396554,5.744861932540419,0.4248386352600569,0.4466895111500198,9.550117187968695,36.70700710205689,17.219871911978355,17.219871911978355,9.05689332927369,10.220909653128873,10.08906979705802,10.08906979705802,18.759895992140116,19.342737904378115,0.02185087588996293,2.239593305300764,27.156889914088197,0.0,1.1640163238551828,0.0,0.5828419122379991,2.829593283753279,0.02185087588996293,1.1640163238551828
6620,CEP1821,2018,2018 Nissan Titan (crew cab),passenger,2018-2026,-9.680357538392686,-14.772075028847784,5.564360425373892,5.102658425444938,0.5748093914202462,0.34542597539480163,6.840132314719092,16.927688398375153,38.16086269695761,38.16086269695761,19.354026948800236,19.354026948800236,19.356226954149793,20.48043512494197,44.24758457781745,44.24758457781745,-0.2293834160254446,-0.46170199992895444,10.087556083656061,0.0,0.0,1.1242081707921763,0.0,0.7674360025999043,0.2293834160254446,1.1242081707921763
