filegroup_id,test_code,test_side,era,working_mode_label,structure_intrusion_score,lower_extremity_score,restraint_kinematics_score,head_neck_chest_score,ri_100,harshness_proxy_z,seat_response_proxy_z
2444,CEN1504,driver,2015-2017,mode_0,-0.046322431304646874,-0.32429046827879904,-1.073157082592202,-0.30851505700829557,0.47466209606452237,2.028621524106323,0.12470417832834677
2445,CEN1511,driver,2015-2017,mode_0,0.529789016463585,1.0956491133147568,-0.23086424204370704,-0.7177873429467891,0.5767772524177524,-0.6516941659685004,0.6050225707607125
2446,CEN1518,driver,2015-2017,mode_0,-0.156598169400707,0.2846181721534453,-0.4482011294830252,1.1236710053137189,0.5494822917399967,-0.1718847964673415,0.7451377119007312
2447,CEN1512,driver,2015-2017,mode_0,0.35071399004995985,0.3099411965175019,1.2769666154271313,-0.3240203982509555,0.5388200670224471,0.49067722592826657,0.2952535513691545
2453,CEN1539,driver,2015-2017,mode_0,1.390038560941033,1.4287491501217986,1.3678696554072656,0.4384173898294239,0.4932620101338368,0.6072425996380537,0.18829636288434404
2490,CEN1521,driver,2015-2017,mode_0,-0.2590197647620128,-0.384041235135052,-1.8418626800155393,0.3736787239481052,0.37948528131509174,-0.4389376214018075,-0.03255974999478841
2491,CEN1520,driver,2015-2017,mode_0,1.482045730844678,0.7204639009294654,,1.0275928679034108,0.46190140359014875,-0.4273937352217796,-0.14315612280785425
2493,CEN1519,driver,2015-2017,mode_0,-0.30109089639921327,-0.36532804040212413,-0.8448184687155535,-0.36430679633477964,0.5975713739809403,-0.08435458993460415,-0.18883986601031216
2494,CEN1525,driver,2015-2017,mode_0,-0.38480068811227586,-0.20100103715609596,-0.5378413553796303,-0.06668671191698376,0.5344093007562585,-0.049389345493643405,-0.19508312676587275
2495,CEN1522,driver,2015-2017,mode_0,-0.07696013762245518,0.1108263336409383,0.5378413553796303,0.7861345455764063,0.5325664555327789,0.1058303579441709,0.12306779195984599
2496,CEN1524,driver,2015-2017,mode_0,0.32288664876750095,0.2428885367103741,-0.4592028559203556,1.0648744097535243,0.5018893547627212,1.1106300697957423,0.46959284733714335
2500,CEN1545,driver,2015-2017,mode_0,0.9193288817142389,1.4721595109770993,-0.5623704364213495,0.42602686140884183,0.48778526234819175,0.10560295159724872,0.7692816351916367
2517,CEN1526,driver,2015-2017,mode_0,-0.18502213860938987,-0.4237821215570534,,0.6523773544045856,0.5790279620720955,1.083873413995562,3.0915645358170893
2522,CEN1527,driver,2015-2017,mode_0,2.2545676301156807,0.9696143194702057,0.8570830092364131,-0.42786495085613957,0.49309375553866513,-0.16549143968173266,0.4783779330473173
2523,CEN1528,driver,2015-2017,mode_0,-0.11373168960499806,0.03153960624802573,-0.7661799692562788,-0.21236819673025786,0.5833304914964662,0.03394059221453813,0.21835981289669998
2524,CEN1541,driver,2015-2017,mode_0,-0.20446714838711974,-0.22683582632415725,0.0,0.3550035915891836,0.5216426306552377,0.007548756287178354,0.00272267798568123
2525,CEN1543,driver,2015-2017,mode_0,-0.4829151896159363,-0.7409064984249288,0.0,-0.8356279363910049,0.526942044831917,-0.36978984829656647,-0.10160195616016984
2552,CEN1530,driver,2015-2017,mode_0,-0.0018780231956987026,-0.022177303563422967,0.141224016147102,0.29617950688189715,0.5687674545271079,-0.11232967044090289,0.0705861065913734
2553,CEN1544,driver,2015-2017,mode_0,2.148771399517008,1.2983032301434245,0.0,0.6275825529898754,0.32493594109022844,2.249196784404819,2.6856091034382628
2554,CEN1529,driver,2015-2017,mode_0,-0.09600487907786591,-0.19758165007961423,0.7661799692562788,-0.5438124765588739,0.5415970342930011,-0.3540248716193311,-0.11435309429270328
2555,CN15002,passenger,2015-2017,mode_0,-0.5579609977628001,0.7166158025925076,1.176324663093196,-0.06357189909490586,0.6095785598995148,-0.6572749272605292,-0.05464303070388153
2559,CEN1531,driver,2015-2017,mode_0,1.3033586396680947,1.4661367759997923,-0.7661799692562788,0.6958747773253089,0.43545963165784235,-0.24025652022276767,1.0578434118122697
2560,CEN1547,driver,2015-2017,mode_0,0.43577591572801877,1.0842096005257567,-0.8177637595067757,-0.16893949667726402,0.5203964175424814,-0.43538897323383574,0.18344062757155072
2562,CEN1540,driver,2015-2017,mode_0,-0.396238916504147,-0.45793672193585283,-1.0756827107592606,1.123643516166627,0.5738283606783424,0.5954194979918519,0.054421351591853455
2563,CEN1532,driver,2015-2017,mode_0,-0.14322625642476053,0.41885558306565523,-0.0380564356461081,-0.09142653503751015,0.4997786372734935,-0.13626687073085902,-0.11374097007146619
2565,CEN1533,driver,2015-2017,mode_0,-0.14611846923116772,-0.256784462977303,0.5623704364213495,-0.44457829260585013,0.5252160224380082,-0.2906913198573566,-0.13939912784448055
2566,CEN1523,driver,2015-2017,mode_0,0.09439664852963917,-0.4707620851260481,-0.15475137075149087,-0.5006988209760036,0.4969003963500406,-0.38264892521284083,-0.21032087024268753
2567,CEN1534,driver,2015-2017,mode_0,-0.05453776253236649,1.0960678961718517,0.7171218071728404,-0.38601427407450356,0.5324766231867022,0.21117473200392994,0.3821159850460081
