working_mode_label,test_side,row_count,dimension,era,make_model_family
mode_0,,1,make_model_family,,Cadillac XT5
mode_0,,1,make_model_family,,Chevrolet Blazer
mode_0,,1,make_model_family,,Chevrolet Camaro
mode_0,,1,make_model_family,,Chevrolet Cruze
mode_0,,1,make_model_family,,Chevrolet Impala
mode_0,,1,make_model_family,,Chevrolet Spark
mode_0,,1,make_model_family,,Chrysler 200
mode_0,,1,make_model_family,,Chrysler 300
mode_0,,1,make_model_family,,Chrysler Town & Country
mode_0,,1,make_model_family,,Dodge Avenger
mode_0,,1,make_model_family,,Dodge Challenger
mode_0,,1,make_model_family,,Dodge Durango
mode_0,,1,make_model_family,,Dodge Journey
mode_0,,1,make_model_family,,Fiat 500L
mode_0,,1,make_model_family,,Fiat 500X
mode_0,,1,make_model_family,,Ford Bronco
mode_0,,1,make_model_family,,Ford C Max
mode_0,,1,make_model_family,,Ford Edge
mode_0,,1,make_model_family,,Ford Expedition
mode_0,,1,make_model_family,,Ford Fiesta
mode_0,,1,make_model_family,,Ford Flex
mode_0,,1,make_model_family,,Ford Focus
mode_0,,1,make_model_family,,Ford Mustang
mode_0,,1,make_model_family,,Ford Mustang Mach E
mode_0,,1,make_model_family,,Ford Ranger
mode_0,,1,make_model_family,,Ford Ranger crew cab
mode_0,,1,make_model_family,,Genesis Electrified GV70
mode_0,,1,make_model_family,,Genesis G80 Electrified
mode_0,,1,make_model_family,,Genesis G90
mode_0,,1,make_model_family,,Genesis GV80
mode_0,,1,make_model_family,,Honda Accord
mode_0,,1,make_model_family,,Honda Accord 2 door
mode_0,,1,make_model_family,,Honda Civic 2 door
mode_0,,1,make_model_family,,Honda Civic 4 door
mode_0,,1,make_model_family,,Hyundai Accent
mode_0,,1,make_model_family,,Hyundai Genesis
mode_0,,1,make_model_family,,Hyundai Ioniq 5
mode_0,,1,make_model_family,,Hyundai Ioniq 6
mode_0,,1,make_model_family,,Hyundai Ioniq Hybrid
mode_0,,1,make_model_family,,Hyundai Kona
mode_0,,1,make_model_family,,Hyundai Nexo
mode_0,,1,make_model_family,,Hyundai Palisade
mode_0,,1,make_model_family,,Hyundai Santa Cruz
mode_0,,1,make_model_family,,Hyundai Santa Fe Sport
mode_0,,1,make_model_family,,Infiniti G25
mode_0,,1,make_model_family,,Infiniti Q50
mode_0,,1,make_model_family,,Infiniti Q70
mode_0,,1,make_model_family,,Jeep Grand Cherokee L
mode_0,,1,make_model_family,,Jeep Patriot
mode_0,,1,make_model_family,,Jeep Wagoneer
mode_0,,1,make_model_family,,Jeep Wrangler
mode_0,,1,make_model_family,,Kia Cadenza
mode_0,,1,make_model_family,,Kia EV9
mode_0,,1,make_model_family,,Kia Niro Plug In Hybrid
mode_0,,1,make_model_family,,Kia Optima
mode_0,,1,make_model_family,,Kia Sedona
mode_0,,1,make_model_family,,Kia Seltos
mode_0,,1,make_model_family,,Lexus CT 200h
mode_0,,1,make_model_family,,Lexus IS 250
